wellName,datasetName,Formation,MD,DTc,DTs,E_DYN,G_DYN,K_DYN,Lame_K-G,M_K-G,PhiMac,PhiMic,PR,RHOB,SSVE,SVEL,VPVS,ECGR,PEFZ
,,,m,us/ft,us/ft,Pa,Pa,Pa,Pa,Pa,v/v,v/v,,g/cm3,m/s,m/s,,gAPI,b/e
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5142.2376,55.71565,94.26032,6.74E+10,2.74E+10,4.18E+10,2.35E+10,7.83E+10,0.08019968,0.01855374,0.2311027,2.616333,3234.607,5470.757,1.691706,13.47336,4.383149
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5142.39,55.17485,93.96526,6.84E+10,2.76E+10,4.33E+10,2.49E+10,8.02E+10,0.07917847,0.02350762,0.2367423,2.626611,3243.836,5524.357,1.703113,13.1785,4.33532
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5142.5424,54.61316,93.95574,6.92E+10,2.78E+10,4.52E+10,2.67E+10,8.22E+10,0.0728576,0.02227812,0.2448586,2.639746,3244.094,5581.198,1.720408,12.46968,4.302511
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5142.6948,54.7056,93.91238,6.94E+10,2.79E+10,4.51E+10,2.64E+10,8.23E+10,0.06719574,0.01253908,0.2431906,2.651079,3245.58,5571.689,1.716699,12.47145,4.324502
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5142.8472,53.75191,94.66518,6.95E+10,2.76E+10,4.88E+10,3.04E+10,8.55E+10,0.06284464,0.004169524,0.2617238,2.657356,3219.844,5671.352,1.761519,14.01941,4.324874
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5142.9996,53.95963,96.57922,6.71E+10,2.64E+10,4.93E+10,3.17E+10,8.45E+10,0.0617865,0.001416808,0.273058,2.646839,3156.319,5648.973,1.789799,15.49453,4.209858
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5143.152,55.52404,98.78027,6.33E+10,2.49E+10,4.57E+10,2.91E+10,7.90E+10,0.06758481,0.002364174,0.2690659,2.617806,3085.942,5490.755,1.779189,15.0578,4.083259
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5143.3044,58.32876,100.7147,5.89E+10,2.36E+10,3.90E+10,2.33E+10,7.05E+10,0.0858786,0.003209931,0.2474501,2.574433,3026.576,5228.803,1.727389,13.18607,4.049004
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5143.4568,59.82784,101.2003,5.66E+10,2.30E+10,3.52E+10,1.98E+10,6.58E+10,0.1083486,0.003288739,0.2313092,2.535351,3011.849,5094.819,1.691594,11.88664,4.135322
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5143.6092,60.70799,102.0127,5.50E+10,2.24E+10,3.34E+10,1.85E+10,6.33E+10,0.1287424,0.005134223,0.2258335,2.511917,2987.942,5020.981,1.680401,11.40352,4.174268
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5143.7616,62.35065,107.9611,4.98E+10,2.00E+10,3.31E+10,1.98E+10,5.97E+10,0.1427102,0.009114916,0.2488579,2.496565,2826.359,4889.45,1.731056,11.38441,4.182075
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5143.914,63.42284,110.4504,4.74E+10,1.89E+10,3.21E+10,1.95E+10,5.73E+10,0.1477694,0.01329439,0.2540231,2.482279,2759.616,4805.97,1.741526,11.24085,4.09187
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5144.0664,63.97321,110.5748,4.68E+10,1.87E+10,3.10E+10,1.85E+10,5.60E+10,0.1415251,0.01319375,0.2484225,2.466313,2756.506,4764.549,1.728473,11.31703,3.978395
